State/UT,Number of Primary Health Centers(PHCs),Community Health Centers(CHCs),Sub-District/Divisional Hospitals(SDHs),District Hospitals(DHs),Hospitals,HospitalBeds
andaman and nicobar islands,27,4,,3,34,1246
andhra pradesh,1417,198,31.0,20,1666,60799
arunachal pradesh,122,62,,15,199,2320
assam,1007,166,14.0,33,1220,19115
bihar,2007,63,33.0,43,2146,17796
chandigarh,40,2,1.0,4,47,3756
chhattisgarh,813,166,12.0,32,1023,14354
dadra and nagar haveli,9,2,1.0,1,13,568
daman and diu,4,2,,2,8,298
nct of delhi,534,25,9.0,47,615,20572
goa,31,4,2.0,3,40,2666
gujarat,1770,385,44.0,37,2236,41129
haryana,500,131,24.0,28,683,13841
himachal pradesh,516,79,61.0,15,671,8706
jammu and kashmir,702,87,,29,818,11342
jharkhand,343,179,13.0,23,558,7404
karnataka,2547,207,147.0,42,2943,56333
kerala,933,229,82.0,53,1297,39511
lakshadweep,4,3,2.0,1,10,250
madhya pradesh,1420,324,72.0,51,1867,38140
maharashtra,2638,430,101.0,70,3239,68998
manipur,87,17,1.0,9,114,2562
meghalaya,138,29,,13,180,4585
mizoram,65,10,3.0,9,87,2312
nagaland,134,21,,11,166,1944
orissa,1360,377,27.0,35,1799,16497
pondicherry,40,4,5.0,4,53,4462
punjab,521,146,47.0,28,742,13527
rajasthan,2463,579,64.0,33,3139,51844
sikkim,25,2,1.0,4,32,1145
tamil nadu,1854,385,310.0,32,2581,72616
telangana,788,82,47.0,15,932,17358
tripura,114,22,12.0,9,157,4895
uttar pradesh,3277,671,,174,4122,58310
uttarakhand,275,69,19.0,20,383,6660
west bengal,1374,406,70.0,55,1905,51163
all india,29899,5568,1255.0,1003,37725,739024
